date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:17:42	108510/108510	---MC-	200	added ('OK')	text/html	date:Sat,%2008%20Apr%202023%2019:14:52%20GMT	https://www.optimum.net/pages/auto-payment.html	C:/Users/USER/Desktop/optimum/www.optimum.net/pages/auto-payment.html	(from )
21:17:42	146/146	---M--	200	added ('OK')	text/plain	date:Sat,%2008%20Apr%202023%2019:14:53%20GMT	https://www.optimum.net/robots.txt		(from )
21:17:43	10839/10839	---M--	200	added ('OK')	application/javascript	date:Sat,%2008%20Apr%202023%2019:14:53%20GMT	https://www.optimum.net/assets/hosted/js/optimum-common.js?single	C:/Users/USER/Desktop/optimum/www.optimum.net/assets/hosted/js/optimum-commondd5c.js	(from https://www.optimum.net/pages/auto-payment.html)
21:17:43	16589/16589	---MCZ	200	added ('OK')	text/css	etag:W/%2259a4e9ee9ab23940a022507bf6dda434%22	https://assets.sitescdn.net/answers-search-bar/v1.0/answers.css	C:/Users/USER/Desktop/optimum/assets.sitescdn.net/answers-search-bar/v1.0/answers.css	(from https://www.optimum.net/pages/auto-payment.html)
21:17:43	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2008%20Apr%202023%2019:14:54%20GMT	https://www.optimum.net/core-and-parts_page_1.css?202303201421	C:/Users/USER/Desktop/optimum/www.optimum.net/core-and-parts_page_159c0.css	(from https://www.optimum.net/pages/auto-payment.html)
21:17:44	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2008%20Apr%202023%2019:14:54%20GMT	https://www.optimum.net/core-and-parts_page_2.css?202303201421	C:/Users/USER/Desktop/optimum/www.optimum.net/core-and-parts_page_259c0.css	(from https://www.optimum.net/pages/auto-payment.html)
21:17:44	189149/189149	---MC-	200	added ('OK')	text/css	etag:%220b64f7e8f197a2a611dd978245e4cfb34%22	https://www.optimum.net/core-and-parts-palette-1_page_2.css?202303201421	C:/Users/USER/Desktop/optimum/www.optimum.net/core-and-parts-palette-1_page_259c0.css	(from https://www.optimum.net/pages/auto-payment.html)
21:17:44	332202/332202	---MC-	200	added ('OK')	text/css	etag:%22019ea11fb3dc49f2e0cb6e595502f843a%22	https://www.optimum.net/core-and-parts-palette-1_page_1.css?202303201421	C:/Users/USER/Desktop/optimum/www.optimum.net/core-and-parts-palette-1_page_159c0.css	(from https://www.optimum.net/pages/auto-payment.html)
21:17:45	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2008%20Apr%202023%2019:14:56%20GMT	https://www.optimum.net/cms-templates/plain-text/page.css?202303201421	C:/Users/USER/Desktop/optimum/www.optimum.net/cms-templates/plain-text/page.759c0.delayed	(from https://www.optimum.net/pages/auto-payment.html)
21:17:45	1249/1249	---MC-	200	added ('OK')	text/css	etag:%2200a57c5765092db6d3a1f1640486ce393%22	https://www.optimum.net/cms-templates/plain-text/page-palette-1.css?202303201421	C:/Users/USER/Desktop/optimum/www.optimum.net/cms-templates/plain-text/page-palette-159c0.css	(from https://www.optimum.net/pages/auto-payment.html)
21:17:45	1793/1793	---M--	200	added ('OK')	application/javascript	etag:%22025fcacc59215759ea9e6102c3c3ffc32%22	https://www.optimum.net/assets/hosted/js/onetmotionpoint.js	C:/Users/USER/Desktop/optimum/www.optimum.net/assets/hosted/js/onetmotionpoint.js	(from https://www.optimum.net/pages/auto-payment.html)
21:17:45	1853/1853	---M--	200	added ('OK')	application/javascript	etag:%2201c5b968b9ad6875aa71404fcf62eed17%22	https://www.optimum.net/assets/hosted/js/liveperson.js	C:/Users/USER/Desktop/optimum/www.optimum.net/assets/hosted/js/liveperson.js	(from https://www.optimum.net/pages/auto-payment.html)
